Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
44,Kumail,Zaidi,Georgetown ZZ,Georgetown,DC,116.3,58.2,174.6,3,174.91,32.44
45,Sean,Wallace,Dartmouth VW,Dartmouth,NH,116.3,58.2,174.5,3.8,175.15,68.02
46,Zachary,Zinober,Georgetown ZZ,Georgetown,DC,116.3,58.2,174.4,3,174.83,23.49
47,Spencer,Anderson McElligott,Grey Parfenoff,Iowa,IA,116.3,58.2,174.3,3.2,174.5,0.78
48,Ephraim,Bennett,Michigan State BM,Michigan State,MI,116.3,58.2,174.3,3.2,174.47,24.89
49,Stephen,Lewis,Michigan State KL,Michigan State,MI,116.3,58.1,174.4,3.67,174.49,73.65
50,Jared,Adam,Kentucky MA,Kentucky,KY,116.3,58.1,174.3,3.5,174.09,38.62
51,Ari,Karchmer,UTD KP,UTD,TX,116.3,58.1,174.2,3.33,174.59,62.21
52,Navya,Simha,Michigan SB,Michigan,MI,116.3,58.1,174.2,2.33,173.83,87.35
53,Jenny,Vazquez Torres,Dartmouth VW,Dartmouth,NH,116.2,58.4,174,3.8,174.64,68.53
54,Jiyoon,Park,Kansas MP,Kansas,KS,116.2,58.2,174.3,3.17,175.64,28.08
55,Jacob,Wilkus,Kansas WW,Kansas,KS,116.2,58.2,174,3.5,173.99,95.27
56,Noah,Reed,George Mason LR,George Mason,VA,116.2,58.2,173.9,3.67,174.26,94.67
57,Avery,Dover,George Mason WD,George Mason,VA,116.2,58.1,174.5,3.33,174.77,41.32
58,Sheima,Ben-Abdallah,Dartmouth NB,Dartmouth,NH,116.2,58.1,174.4,3.17,173.72,15.05
59,Ben,Sayers,Georgetown SG,Georgetown,DC,116.2,58.1,174,2.67,174.95,45.33
60,Coralynn,Yang,Clara Conry,Emory,GA,116.2,58,174.7,3.83,174.79,52.45
61,Kate,Marin,Binghamton MP,Binghamton,NY,116.2,58,174.6,3.8,174.75,54.94
62,Eshan,Momin,Emory SM,Emory,GA,116.2,58,174.3,3.33,174.75,20.62
63,Owen,Phoenix-Flood,Minnesota JP,Minnesota,MN,116.1,58,174.4,3.67,174.23,76.99
64,Lorilei,Lassen,Wyoming LP,Wyoming,WY,116.1,58,174.3,4,175.35,70.47
65,Nolan,Johnson,Minnesota JP,Minnesota,MN,116.1,58,174.3,3.67,174.36,48.78
66,Lauren,McBlain,Kentucky MA,Kentucky,KY,116,58.2,173.9,3.5,173.7,1.47
67,Willow,Roark,West Georgia KR,West Georgia,GA,116,58,174.2,3.17,174.3,8.09
68,Natalie,Gao,Michigan SG,Michigan,MI,116,58,174,3.83,173.79,11.44
69,Donald,Pierce,Emory WP,Emory,GA,116,58,174,3.67,174.2,28.08
70,Blaine,Montford,Michigan State BM,Michigan State,MI,116,58,174,3.2,174.03,49.52
71,Irshad,Reza Husain,Wayne State RM,Wayne State,MI,116,58,174,2.17,174.11,83.45
72,Gene,Bressler,Wake Forest BM,Wake Forest,NC,116,58,173.88,3.2,174.11,55.68
73,Joey,Tarnowski,Samford FT,Samford,AL,116,58,173.6,3.17,173.85,23.95
74,Austin,Davis,Austin Davis,George Mason,VA,116,58,173.52,3.6,173.66,31.28
75,Jared,Spiers,Kansas HS,Kansas,KS,116,57.9,174.2,3,174.19,51.88
76,Maya,Mikelson,Michigan MK,Michigan,MI,115.9,58.1,174.1,2,172.98,80.86
77,Jenny,Kuo,Michigan MK,Michigan,MI,115.9,58.1,174,2,173.05,81.29
78,Michelle,Gong,Wake Forest LG,Wake Forest,NC,115.9,58,173.7,2.33,173.79,1.94
79,Eshkar,Kaidar-Heafetz,West Georgia KR,West Georgia,GA,115.9,57.9,174,3.17,173.83,13.72
80,Ashley,Wright,George Mason WD,George Mason,VA,115.9,57.9,173.9,3.33,173.99,5.59
81,Jacob,Palmer,Emory PR,Emory,GA,115.9,57.9,173.6,2.67,173.63,19.82
82,Ec,Powers,Wyoming LP,Wyoming,WY,115.9,57.8,173.9,4,174.85,46.35
83,Alex,Mojica,Wake Forest BM,Wake Forest,NC,115.87,58,174,3.2,174.17,72.45
84,Veronica,Rubin,Northwestern AR,Northwestern,IL,115.8,58.1,173.6,2.67,174.48,85.61
85,Pranay,Ippagunta,Georgia WI,Georgia,GA,115.8,58,173.5,3.67,174.14,32.62
86,Michael,Greenberg,Georgetown SG,Georgetown,DC,115.8,58,173.5,2.67,173.61,4.29
87,J,Parrish,Minnesota DP,Minnesota,MN,115.8,57.8,174,3.5,175.34,70.47
88,Lucas,Lobo,Emory LK,Emory,GA,115.8,57.8,173.7,3.67,173.6,3.23
89,Khamani,Griffin,Southern California GA,Southern California,CA,115.8,57.8,173.4,2.6,173.99,20.33
90,Tatianna,Mckenzie,Wayne State RM,Wayne State,MI,115.7,57.9,173.7,2.17,173.75,16.13
