Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
33,Silma,Bathily,Wake Forest BW,Wake Forest,NC,116.80,58.40,175.10,3.17,175.47,44.86,"W29.3,W28.8,L29.1,L29.5,W29.1,W29.3"
34,Austin,Davis,George Mason DF,George Mason,VA,116.80,58.30,175.50,3.00,175.20,60.33,"W29.2,L29.5,W30,L29.1,L28.7,W29"
35,Ralph,Anderson,Texas AF,Texas,TX,116.80,58.30,175.20,3.33,174.45,15.56,"W29,W29.5,L28.8,W29.6,L29,W29.3"
36,Kiran,Khan,Houston AK,Houston,TX,116.70,58.40,175.00,3.83,174.76,18.78,"W29.3,W29.2,L29.2,W29.1,L29.2,W29"
37,Ishan,Sharma,Michigan ES,Michigan,MI,116.70,58.40,175.00,3.17,175.61,2.91,"W29.1,W29.3,L29.2,W29,L29.2,W29.2"
38,Thomas,Reese,Southern California BrRe,Southern California,CA,116.70,58.30,174.90,2.50,174.47,71.26,"L29.1,L29.1,W29.3,W29.2,W29.4,L28.8"
39,Lindsay Jade,Feinstein,Texas AF,Texas,TX,116.60,58.40,175.10,3.33,174.27,93.19,"W28.9,W29.6,L28.9,W29.3,L29.2,W29.2"
40,Avi,Shah,Michigan SS,Michigan,MI,116.60,58.40,174.80,3.83,175.19,86.48,"W29.2,W28.9,L28.9,W29.3,W29.3,L29.2"
41,Luna,Schultz,Kansas LS,Kansas,KS,116.60,58.40,174.70,3.80,175.05,52.78,"W29.2,W28.5,W29.2,W29,W29.2,W29.6"
42,Akash,Deo,Northwestern DR,Northwestern,IL,116.60,58.30,175.40,4.00,175.78,58.65,"W29.2,W29.1,W29.1,W29.2,L29.1,L29.7"
43,Neo,Cai,Dartmouth CW,Dartmouth,NH,116.60,58.30,174.80,3.83,174.65,10.25,"W28.7,L29,W29.5,W29.2,W29.1,L29.3"
44,Michela,Short,Liberty CS,Liberty,VA,116.60,58.20,174.90,3.17,175.22,82.77,"W28.4,W29,L29.4,L29.9,W29.1,L29.1"
45,Lenox,Leverett,Wake Forest LS,Wake Forest,NC,116.53,58.20,174.60,2.67,174.50,85.66,"W28.6,L29.1,L29.2,W29.1,W29.5"
46,Rose,Larson,Kansas LS,Kansas,KS,116.50,58.40,174.60,3.80,176.09,49.99,"W29.3,W28.8,W29.1,W29.3,W29.3,W28.8"
47,Clara,Conry,Emory CP,Emory,GA,116.50,58.30,175.10,3.50,175.32,76.63,"W29.2,W29.1,W29.2,L29,W29,W29.6"
48,Connelly,Cowan,Georgetown CS,Georgetown,DC,116.50,58.30,174.70,2.83,175.95,16.13,"W29.1,L29.2,W29.3,L28.9,W29,W29.2"
49,Conner,Shih,Michigan SS,Michigan,MI,116.50,58.20,175.10,3.83,175.54,63.82,"W29,W29,L29,W29.6,W29.2,L29.3"
50,Jacob,Wilkus,Kansas HW,Kansas,KS,116.50,58.20,174.70,3.33,175.34,42.83,"W29.2,W28.9,L29.1,L29.1,29.1,L29.3"
